,train_result,test_list
1075,198233,198168
1076,206296,209712
1077,196855,198139
1078,203018,202738
1079,201643,199083
1080,202739,203755
1081,195103,196774
1082,201875,203165
1083,202436,202380
1084,198947,200033
1085,192263,192521
1086,193414,194942
1087,191157,191490
1088,199742,201515
1089,205161,206875
1090,206808,209530
1091,200483,205429
1092,203702,206551
1093,202399,207055
1094,208942,214196
1095,221395,218478
1096,204816,208806
1097,205064,205201
1098,216457,216470
1099,199657,202528
1100,211511,212654
1101,205786,206674
1102,218617,222783
1103,216170,217427
1104,207237,208065
1105,205455,208057
1106,203463,206134
1107,211498,214307
1108,215410,216959
1109,213295,215231
1110,210134,211030
1111,201293,206307
1112,200800,203610
1113,201851,207145
1114,206813,209260
1115,205510,208040
1116,209015,211691
1117,208221,209551
1118,210705,209678
1119,197152,193893
1120,208099,209729
1121,199454,199385
1122,198635,201082
1123,201307,203619
1124,199918,199554
1125,201756,200594
1126,205961,205230
1127,193557,195549
1128,197203,198651
1129,195900,195004
1130,208857,208688
1131,200760,204619
1132,197337,196174
1133,206263,206613
1134,196283,199146
1135,195460,194846
1136,204376,203386
1137,198614,199980
1138,200350,201825
1139,200721,201479
1140,199837,199910
1141,201563,202630
1142,207727,208404
1143,208331,206614
1144,202954,206408
1145,205571,207957
1146,198180,202785
1147,208648,210002
1148,209289,208746
1149,219802,220520
1150,219179,222350
1151,207041,206853
1152,208233,209966
1153,208788,210785
1154,207357,209261
1155,212098,220431
1156,212231,214766
1157,209404,208432
1158,214437,212031
1159,216003,219069
1160,210720,208884
1161,209416,208470
1162,212145,212983
1163,208243,206709
1164,210157,209613
1165,210009,210382
1166,209860,212424
1167,204847,204898
1168,212642,213572
1169,208270,211625
1170,220302,220455
1171,210924,216677
1172,219077,221816
1173,218426,219066
1174,207495,206340
1175,206325,206423
1176,209124,211636
1177,219043,223422
1178,222332,223803
1179,221803,223222
1180,219905,222418
1181,213799,214556
1182,211506,213610
1183,209033,211113
1184,206143,205571
1185,205890,207785
1186,206676,208959
1187,216256,215352
1188,213038,213133
1189,213055,216537
1190,214732,218215
1191,209538,210843
1192,217116,215586
1193,212909,213754
1194,216479,218259
1195,205969,207486
1196,212309,214602
1197,213084,211311
1198,210372,214624
1199,207660,207991
1200,207659,211284
1201,210780,213727
1202,202654,206742
1203,207745,209086
1204,211147,210661
1205,210072,209425
1206,204288,205431
1207,215951,214587
1208,212352,211059
1209,216472,219115
1210,215413,213930
1211,215581,216331
1212,214956,215187
1213,211283,212659
1214,208556,210137
1215,213145,212215
1216,212718,215804
1217,212853,212829
1218,221686,227137
1219,208061,208806
1220,213216,212007
1221,216913,219625
1222,229895,232246
1223,212064,212122
1224,210964,213072
1225,215220,216851
